Date,Time,Open,High,Low,Close,Volume
2018-11-16,00:00:00,301.0,350.0,250.1,262.0,75614
2018-11-17,00:00:00,261.95,271.3,230.73,256.7,63301
2018-11-18,00:00:00,256.49,298.8,255.96,296.67,59722
2018-11-19,00:00:00,297.18,297.99,223.29,232.43,74109
2018-11-20,00:00:00,231.41,259.0,193.7,227.16,100449
2018-11-21,00:00:00,227.22,251.79,216.94,237.66,58324
2018-11-22,00:00:00,237.75,241.35,209.34,210.23,33595
2018-11-23,00:00:00,209.98,216.22,196.83,210.2,52650
2018-11-24,00:00:00,210.47,219.94,175.5,180.8,52326
2018-11-25,00:00:00,180.86,198.38,155.16,188.2,95169
2018-11-26,00:00:00,187.71,225.53,172.0,184.22,184785
2018-11-27,00:00:00,184.86,201.27,172.5,181.74,82214
2018-11-28,00:00:00,182.0,200.0,178.0,190.76,53295
2018-11-29,00:00:00,190.03,192.36,175.0,181.18,26328
2018-11-30,00:00:00,181.38,189.3,167.0,173.15,34172
2018-12-01,00:00:00,172.8,178.58,166.96,172.93,27786
2018-12-02,00:00:00,172.64,180.56,169.71,171.79,20425
2018-12-03,00:00:00,172.06,172.56,156.0,158.67,17709
2018-12-04,00:00:00,158.67,159.97,146.58,148.59,27149
2018-12-05,00:00:00,148.71,148.82,129.5,130.05,36734
2018-12-06,00:00:00,130.08,132.49,106.49,106.69,73297
2018-12-07,00:00:00,106.62,120.0,95.84,104.66,242595
2018-12-08,00:00:00,104.94,109.81,95.5,99.95,94455
2018-12-09,00:00:00,99.8,110.45,98.4,106.56,139262
2018-12-10,00:00:00,106.51,108.72,99.63,102.17,46637
2018-12-11,00:00:00,102.18,102.19,92.95,96.37,24968
2018-12-12,00:00:00,96.31,99.04,95.19,97.06,25428
2018-12-13,00:00:00,96.99,97.18,86.8,87.75,31091
2018-12-14,00:00:00,87.85,89.5,76.66,80.1,69880
2018-12-15,00:00:00,80.1,82.24,74.02,76.75,43268
2018-12-16,00:00:00,76.81,82.5,76.73,79.78,80748
2018-12-17,00:00:00,79.74,91.51,79.0,88.12,148983
2018-12-18,00:00:00,88.13,105.0,85.21,103.5,198808
2018-12-19,00:00:00,103.41,145.0,100.89,125.28,641514
2018-12-20,00:00:00,125.23,200.43,119.96,189.84,973358
2018-12-21,00:00:00,190.0,229.38,171.21,191.97,832879
2018-12-22,00:00:00,192.01,205.11,179.43,194.36,339225
2018-12-23,00:00:00,194.36,208.76,186.0,195.27,238997
2018-12-24,00:00:00,195.18,211.5,175.22,178.67,290319
2018-12-25,00:00:00,178.82,180.68,149.6,169.23,320727
2018-12-26,00:00:00,169.3,184.7,161.0,173.34,304479
2018-12-27,00:00:00,173.14,175.48,143.0,146.65,185182
2018-12-28,00:00:00,146.47,174.68,139.2,170.36,265993
2018-12-29,00:00:00,170.36,174.0,158.0,159.21,171196
2018-12-30,00:00:00,159.42,162.0,154.44,160.67,132978
2018-12-31,00:00:00,160.67,160.89,143.85,148.42,79731
2019-01-01,00:00:00,148.4,165.11,146.96,162.07,114087
2019-01-02,00:00:00,162.06,171.49,158.64,168.79,117255
2019-01-03,00:00:00,168.6,173.9,155.15,158.7,102013
2019-01-04,00:00:00,158.6,162.48,151.19,157.81,88155
2019-01-05,00:00:00,157.89,164.94,154.29,156.84,81637
2019-01-06,00:00:00,156.84,164.83,155.12,162.29,70853
2019-01-07,00:00:00,162.29,164.63,156.03,158.65,60000
2019-01-08,00:00:00,158.65,161.21,155.26,158.25,47141
2019-01-09,00:00:00,158.26,159.23,155.0,156.95,34638
2019-01-10,00:00:00,157.14,162.37,127.8,131.19,153123
2019-01-11,00:00:00,131.3,132.45,124.99,128.08,93168
2019-01-12,00:00:00,128.21,136.0,127.45,131.41,82272
2019-01-13,00:00:00,131.55,133.12,119.98,123.43,68324
2019-01-14,00:00:00,123.42,134.82,121.18,130.86,93997
2019-01-15,00:00:00,130.92,132.13,123.38,125.5,60068
2019-01-16,00:00:00,125.49,129.48,125.11,126.99,35286
2019-01-17,00:00:00,126.99,130.25,123.67,128.82,52020
2019-01-18,00:00:00,128.8,129.15,124.3,126.33,28359
2019-01-19,00:00:00,126.34,130.3,125.63,127.91,36168
2019-01-20,00:00:00,127.91,128.94,119.46,121.75,38863
2019-01-21,00:00:00,121.75,122.98,120.0,121.21,22565
2019-01-22,00:00:00,121.21,131.34,115.75,127.12,63915
2019-01-23,00:00:00,127.12,135.28,126.23,131.19,99419
2019-01-24,00:00:00,131.18,131.19,125.81,128.07,64789
2019-01-25,00:00:00,128.11,128.32,124.88,126.75,34652
2019-01-26,00:00:00,126.76,128.6,125.28,125.49,27582
2019-01-27,00:00:00,125.52,126.38,118.22,121.27,47011
2019-01-28,00:00:00,121.32,121.37,104.87,111.04,105642
2019-01-29,00:00:00,111.05,112.35,105.92,109.5,64062
2019-01-30,00:00:00,109.46,109.65,107.71,109.28,5559
2019-01-31,00:00:00,117.02,120.5,112.38,113.6,90369
2019-02-01,00:00:00,113.61,119.0,110.49,115.39,76903
2019-02-02,00:00:00,115.42,123.06,114.88,121.22,97886
2019-02-03,00:00:00,121.19,121.65,116.48,118.67,79418
2019-02-04,00:00:00,118.67,120.88,117.45,118.91,53073
2019-02-05,00:00:00,118.9,119.97,116.71,117.25,34007
2019-02-06,00:00:00,117.26,123.0,111.18,114.63,125345
2019-02-07,00:00:00,114.62,117.46,113.76,115.45,59115
2019-02-08,00:00:00,115.45,131.99,113.85,129.64,140785
2019-02-09,00:00:00,129.64,130.35,125.5,128.02,83154
2019-02-10,00:00:00,128.03,128.78,121.29,126.89,80863
2019-02-11,00:00:00,126.91,127.0,122.68,123.29,24526
2019-02-12,00:00:00,122.22,123.58,118.3,122.54,55371
2019-02-13,00:00:00,122.52,127.0,120.47,122.0,47860
2019-02-14,00:00:00,121.95,124.18,119.73,120.89,65245
2019-02-15,00:00:00,120.85,123.79,120.28,121.28,40954
2019-02-16,00:00:00,121.3,123.0,121.09,121.47,37351
2019-02-17,00:00:00,121.47,125.18,120.52,124.15,57696
2019-02-18,00:00:00,124.12,148.84,123.95,143.36,258643
2019-02-19,00:00:00,143.38,151.34,140.8,141.44,152707
2019-02-20,00:00:00,141.41,148.09,137.91,146.56,102666
